#Locus	Reads	Rep-total	DicerCall
Chr1:1041835-1041849	7	1.750	N
Chr1:1043493-1043508	20	11.834	N
Chr1:1054124-1054138	1	0.111	N
Chr1:1058906-1058923	23	8.556	N
Chr1:1075497-1075512	28	18.614	N
Chr1:1079631-1079645	6	2.800	N
Chr1:1080445-1080462	21	17.333	N
Chr1:1084105-1084122	5	3.367	N
Chr1:1089078-1089092	8	7.500	N
Chr1:1089547-1089561	6	2.452	N
Chr1:1094703-1094720	39	11.443	N
Chr1:1099615-1099625	1	1.000	22
Chr1:1106444-1106461	3	3.000	N
Chr1:1111050-1111064	5	1.250	N
Chr1:1113858-1113871	3	0.500	N
Chr1:1128456-1128486	2	2.000	N
Chr1:1141780-1141806	3	3.000	N
Chr1:1150663-1150677	34	34.000	N
Chr1:1159023-1159106	188	31.584	N
Chr1:1160229-1160306	55	21.329	24
Chr1:1160791-1161234	42	37.145	24
Chr1:1168512-1168527	56	46.082	N
Chr1:1171227-1171243	5	1.250	N
Chr1:1184758-1185134	83	81.556	24
Chr1:1189319-1190195	47	46.502	N
Chr1:1190782-1190810	3	3.000	N
Chr1:1191229-1191295	12	12.000	N
Chr1:1194393-1195179	283	147.301	24
Chr1:1196816-1196871	5	5.000	24
Chr1:1200105-1200118	0	0.000	N
Chr1:1202570-1202587	0	0.000	N
Chr1:1205831-1205845	4	0.583	N
Chr1:1208706-1208722	6	2.650	N
Chr1:1215706-1215813	188	128.141	N
Chr1:1216721-1217062	188	185.612	N
Chr1:1241336-1241349	5	0.454	N
Chr1:1245071-1245087	442	365.004	N
Chr1:1249740-1250892	105	36.687	24
Chr1:1256601-1256615	1	1.000	N
Chr1:1257312-1257329	37	17.682	N
Chr1:1258567-1258582	10	3.405	N
Chr1:1269830-1269846	9	4.333	N
Chr1:1276118-1276196	46	11.528	24
Chr1:1276528-1276655	44	39.851	24
Chr1:1286186-1286200	2	0.286	N
Chr1:1286864-1286925	26	26.000	24
Chr1:1289031-1289463	38	5.742	24
Chr1:1303765-1303773	7	2.556	N
Chr1:1304229-1304248	0	0.000	N
Chr1:1308466-1308482	1	0.071	N
Chr1:1314743-1314757	8	0.666	N
Chr1:1324973-1324990	40	3.476	N
Chr1:1336737-1336752	27	13.000	N
Chr1:1348708-1348939	13	2.271	N
Chr1:1350033-1350048	1	0.200	N
Chr1:1353314-1353328	17	4.250	N
Chr1:1368471-1368486	2	0.667	N
Chr1:1382396-1382411	25	7.752	N
Chr1:1387028-1387043	10	3.615	N
Chr1:1393075-1393089	6	0.955	N
Chr1:1398803-1398818	0	0.000	N
Chr1:1400953-1400969	14	14.000	N
Chr1:1402365-1402379	3	0.143	N
Chr1:1414686-1414701	0	0.000	N
Chr1:1430268-1430436	80	36.384	24
Chr1:1430729-1431036	171	67.049	24
Chr1:1431452-1432134	43	43.000	N
Chr1:1432362-1432396	4	4.000	N
Chr1:1432605-1432623	3	3.000	N
Chr1:1434477-1434489	4	0.844	N
Chr1:1436671-1436684	1	0.333	N
Chr1:1437869-1437883	1	1.000	N
Chr1:1441523-1442319	209	117.165	24
Chr1:1442680-1443158	31	17.816	24
Chr1:1443659-1444570	148	89.170	24
Chr1:1445306-1446263	284	214.420	24
Chr1:1446507-1446521	2	0.410	N
Chr1:1450013-1450030	89	30.091	N
Chr1:1451802-1451815	4	3.167	N
Chr1:1463320-1463333	9	7.667	N
Chr1:1471165-1471184	5	1.533	20
Chr1:1476454-1476725	59	34.586	24
Chr1:1477852-1478381	34	31.443	N
Chr1:1478660-1478822	27	25.499	N
Chr1:1486778-1486802	1	0.333	22
Chr1:1490784-1490794	3	1.667	N
Chr1:1491759-1491773	18	5.252	N
Chr1:1502758-1502774	3	3.000	N
Chr1:1510493-1510508	23	17.213	N
Chr1:1513612-1513628	4	3.500	N
Chr1:1514212-1514226	25	25.000	N
Chr1:1522834-1523426	134	118.644	24
Chr1:1532186-1532202	6	1.916	N
Chr1:1540252-1540269	12	8.666	N
Chr1:1545206-1545221	0	0.000	N
Chr1:1554689-1554696	0	0.000	N
Chr1:1566512-1566528	98	26.705	N
Chr1:1575053-1575068	4	1.617	N
Chr1:1580658-1580672	9	3.334	N
Chr1:1583791-1583845	133	105.469	N
Chr1:1592517-1592618	129	127.001	24
Chr1:1593146-1593169	0	0.000	N
Chr1:1598282-1598526	508	504.800	24
Chr1:1607522-1607536	7	1.000	N
Chr1:1611421-1611435	1	1.000	N
Chr1:1613257-1614693	345	264.236	24
Chr1:1617724-1617778	135	114.331	24
Chr1:1619282-1619296	32	3.555	N
Chr1:1622043-1622057	2	2.000	N
Chr1:1626691-1626705	2	0.167	N
Chr1:1637003-1637017	32	8.250	N
Chr1:1638275-1638298	2	2.000	22
Chr1:1643832-1643849	73	20.834	N
Chr1:1646232-1646246	34	8.701	N
Chr1:1653231-1653615	35	35.000	21
Chr1:1654905-1654920	8	7.334	N
Chr1:1661528-1661542	19	9.500	N
Chr1:1662402-1662421	2	2.000	22
Chr1:1667631-1667645	11	1.276	N
Chr1:1676764-1677046	18	14.666	24
Chr1:1680512-1680526	11	2.093	N
Chr1:1692703-1692740	0	0.000	N
Chr1:1702355-1702370	7	1.357	N
Chr1:1703428-1703442	44	38.500	N
Chr1:1704780-1704796	290	59.653	N
Chr1:1705444-1705474	14	10.412	23
Chr1:1705953-1706120	37	19.736	24
Chr1:1706433-1706454	2	2.000	23
Chr1:1707805-1707820	17	14.428	N
Chr1:1710990-1711006	76	47.492	N
Chr1:1711587-1711602	3	0.333	N
Chr1:1712766-1712781	11	11.000	N
Chr1:1713259-1713274	8	4.610	N
Chr1:1716072-1716087	1	0.333	N
Chr1:1720673-1720688	2	0.583	N
Chr1:1725732-1725746	2	0.400	N
Chr1:1727122-1727487	45	44.055	21
Chr1:1728731-1729224	30	20.433	24
Chr1:1738996-1739172	362	248.513	24
Chr1:1742569-1742586	40	27.100	N
Chr1:1745297-1745326	2	2.000	N
Chr1:1748580-1748580	8	3.250	N
Chr1:1751299-1751314	4	1.091	N
Chr1:1759856-1759871	25	21.625	N
Chr1:1762048-1762063	12	1.000	N
Chr1:1764408-1764418	3	2.500	N
Chr1:1766643-1767431	20	15.642	N
Chr1:1767683-1768088	49	30.277	N
Chr1:1768563-1768584	5	5.000	N
Chr1:1781709-1781723	22	7.333	N
Chr1:1787500-1787507	1	0.083	N
Chr1:1790140-1790154	8	1.583	N
Chr1:1797060-1797076	61	36.502	N
Chr1:1799901-1799916	182	162.508	N
Chr1:1803119-1803143	2	2.000	N
Chr1:1817400-1817473	213	39.788	N
Chr1:1835810-1835825	75	20.002	N
Chr1:1875507-1876767	106	69.981	24
Chr1:1879036-1879052	10	2.417	N
Chr1:1881910-1882258	422	417.485	24
Chr1:1884283-1884321	2	2.000	24
Chr1:1898930-1898944	0	0.000	N
Chr1:1900004-1900019	23	5.667	N
Chr1:1904018-1904033	12	11.500	N
Chr1:1905132-1905146	0	0.000	N
Chr1:1923719-1923734	2	1.000	N
Chr1:1935510-1935525	11	4.700	N
Chr1:1944858-1944904	58	48.331	N
Chr1:1956289-1956390	6	2.276	N
Chr1:1961027-1961047	4	4.000	N
Chr1:1975093-1975587	38	8.018	24
Chr1:1975914-1976579	79	55.790	24
Chr1:1978084-1978173	18	1.768	N
Chr1:1981156-1981171	5	1.666	N
Chr1:2001711-2001733	4	3.500	N
Chr1:2005107-2005122	11	8.833	N
Chr1:2010182-2010197	1	0.167	N
Chr1:2014731-2014747	0	0.000	N
Chr1:2014950-2015191	17	10.333	21
Chr1:2017423-2017437	214	108.584	N
Chr1:2024683-2024699	6	2.417	N
Chr1:2024939-2024954	6	1.450	N
Chr1:2025353-2025411	1309	105.505	N
Chr1:2041337-2041352	20	3.734	N
Chr1:2047925-2048672	67	65.747	N
Chr1:2048901-2049329	59	58.333	N
Chr1:2056697-2056710	9	5.195	N
Chr1:2077462-2077515	5	5.000	N
Chr1:2084872-2084885	6	4.667	N
Chr1:2095828-2095844	132	20.962	N
Chr1:2107255-2107468	1873	1120.429	N
Chr1:2111057-2111218	2164	1239.539	N
Chr1:2135481-2135493	2	0.833	N
Chr1:2137216-2137231	3	0.536	N
Chr1:2151949-2152054	6	3.833	N
Chr1:2153242-2153259	36	21.182	N
Chr1:2154771-2154784	1	0.083	N
Chr1:2156307-2156359	292	57.320	N
Chr1:2157120-2157671	215	56.803	24
Chr1:2161275-2161296	7	7.000	N
Chr1:2165554-2165711	112	112.000	21
Chr1:2167088-2167106	1	0.125	N
Chr1:2170763-2170782	3	3.000	N
Chr1:2174537-2174551	4	0.762	N
Chr1:2177885-2177950	392	92.826	N
Chr1:2201636-2201653	476	206.060	N
Chr1:2208582-2208600	4	4.000	N
Chr1:2215568-2215582	0	0.000	N
Chr1:2217186-2217200	19	1.965	N
Chr1:2224718-2224729	15	13.584	N
Chr1:2227208-2227223	34	33.500	N
Chr1:2233808-2234534	66	16.540	24
Chr1:2249579-2249593	0	0.000	N
Chr1:2249893-2249895	1	0.333	N
Chr1:2253858-2253875	23	6.999	N
Chr1:2261059-2261074	7	0.957	N
Chr1:2262021-2262036	2	0.291	N
Chr1:2263411-2263426	1	0.200	N
Chr1:2271668-2271868	8	3.595	N
Chr1:2282594-2282609	19	10.288	N
Chr1:2282928-2282948	0	0.000	N
Chr1:2287333-2287347	2	1.500	N
Chr1:2292454-2292469	18	6.084	N
Chr1:2295288-2295301	3	1.167	N
Chr1:2296278-2296292	8	8.000	N
Chr1:2297777-2297792	1	1.000	N
Chr1:2298469-2298484	14	3.793	N
Chr1:2298766-2298781	1	0.250	N
Chr1:2334817-2334897	1346	91.124	N
Chr1:2335191-2335247	11	11.000	24
Chr1:2337988-2338002	5	2.500	N
Chr1:2338800-2338963	14	11.250	N
Chr1:2339293-2339323	9	8.000	N
Chr1:2340188-2340430	163	143.522	24
Chr1:2341624-2341625	1	0.333	N
Chr1:2342912-2342926	15	15.000	N
Chr1:2350607-2350623	5	1.250	N
Chr1:2364361-2364376	17	4.833	N
Chr1:2368840-2369076	12	3.917	24
Chr1:2369799-2369903	5	0.732	N
Chr1:2387489-2387503	11	7.667	N
Chr1:2396722-2396854	15	5.611	N
Chr1:2400002-2400182	3	2.200	N
Chr1:2406710-2406906	1291	195.845	N
Chr1:2415633-2415968	77	72.034	24
Chr1:2417420-2417440	5	2.500	N
Chr1:2424318-2424334	30	9.735	N
Chr1:2427631-2427645	9	3.012	N
Chr1:2428300-2428308	3	1.325	N
Chr1:2434957-2434971	3	0.375	N
Chr1:2438006-2438243	23	23.000	N
Chr1:2438791-2438811	2	2.000	N
Chr1:2439134-2439151	5	5.000	N
Chr1:2439431-2439461	9	9.000	N
Chr1:2444647-2444660	10	4.700	N
Chr1:2454859-2454872	2	0.143	N
Chr1:2455741-2455761	3	0.917	N
Chr1:2456389-2456427	4	1.000	N
Chr1:2457074-2457088	3	3.000	N
Chr1:2459117-2459404	23	9.458	N
Chr1:2459846-2459888	17	4.250	N
Chr1:2460344-2460365	5	2.667	N
Chr1:2463439-2463463	3	1.333	N
Chr1:2463918-2463965	14	3.500	N
Chr1:2464333-2464347	3	1.000	N
Chr1:2464590-2464614	5	1.834	N
Chr1:2464947-2464962	23	23.000	N
Chr1:2467933-2467950	12	11.000	N
Chr1:2472878-2473288	188	131.713	24
Chr1:2473826-2473839	8	4.429	N
Chr1:2477382-2477396	2	0.500	N
Chr1:2484488-2484503	40	5.904	N
Chr1:2484957-2484971	14	2.583	N
Chr1:2512500-2512510	1	0.333	N
Chr1:2515023-2515038	24	5.606	N
Chr1:2518535-2518551	18	8.833	N
Chr1:2522924-2522939	3	2.000	N
Chr1:2525870-2525884	19	19.000	N
Chr1:2526904-2526947	16	16.000	24
Chr1:2531436-2531861	150	64.425	24
Chr1:2532265-2532419	17	5.034	23
Chr1:2532694-2532726	8	2.666	24
Chr1:2532940-2534126	114	33.505	24
Chr1:2534536-2534796	65	46.169	24
Chr1:2538076-2538234	129	42.260	N
Chr1:2547027-2547042	40	8.268	N
Chr1:2560107-2560123	12	3.404	N
Chr1:2565327-2565341	28	9.901	N
Chr1:2574528-2574548	3	3.000	N
Chr1:2577832-2577847	0	0.000	N
Chr1:2587337-2587558	63	25.024	N
Chr1:2587783-2588596	31322	2605.990	N
Chr1:2595909-2595923	11	5.500	N
Chr1:2600434-2600449	46	44.666	N
Chr1:2615025-2615039	3	1.667	N
Chr1:2636726-2636742	2	1.250	N
Chr1:2640957-2641272	81	79.834	N
Chr1:2641499-2641714	5	5.000	N
Chr1:2646119-2646133	1	0.125	N
Chr1:2657436-2657897	366	324.898	24
Chr1:2659053-2659067	1	0.500	N
Chr1:2670384-2670386	3	3.000	N
Chr1:2674465-2674481	4	1.810	N
Chr1:2676169-2676184	3	1.111	N
Chr1:2682976-2682991	23	7.167	N
Chr1:2688948-2688962	1	0.067	N
Chr1:2693569-2693585	7	0.813	N
Chr1:2699605-2699615	3	0.333	N
Chr1:2711007-2711022	17	8.367	N
Chr1:2718979-2718993	1	1.000	N
Chr1:2727029-2727045	17	5.058	N
Chr1:2739192-2739207	12	5.645	N
Chr1:2740509-2740524	4	2.250	N
Chr1:2745647-2745661	5	5.000	N
Chr1:2763628-2763642	43	21.500	N
Chr1:2765585-2765599	15	5.166	N
Chr1:2767426-2767441	7	1.304	N
Chr1:2770564-2770578	0	0.000	N
Chr1:2788433-2788752	71	12.801	24
Chr1:2788987-2789183	18	3.533	24
Chr1:2790032-2790035	1	0.200	23
Chr1:2790314-2790472	2	0.367	24
Chr1:2790732-2791147	23	3.967	24
Chr1:2791403-2791496	3	0.567	N
Chr1:2791771-2791925	7	1.267	24
Chr1:2792164-2792170	0	0.000	N
Chr1:2792616-2792646	2	0.400	N
Chr1:2792892-2793059	19	3.034	N
Chr1:2793386-2793388	4	0.800	24
Chr1:2793609-2794326	36	6.419	24
Chr1:2795063-2795119	5	0.833	24
Chr1:2795405-2795968	60	11.436	24
Chr1:2796358-2796383	2	0.400	23
Chr1:2796614-2797342	30	5.301	24
Chr1:2797708-2797870	4	0.589	N
Chr1:2798361-2798378	0	0.000	N
Chr1:2798668-2799404	38	7.000	24
Chr1:2799787-2800696	210	40.509	24
Chr1:2802695-2802710	37	2.760	N
Chr1:2803058-2803074	231	48.464	N
Chr1:2804335-2804350	31	24.499	N
Chr1:2805695-2805710	4	2.222	N
Chr1:2813165-2813179	1	0.200	N
Chr1:2829132-2829137	2	2.000	N
Chr1:2830919-2830936	19	9.458	N
Chr1:2833628-2833642	3	3.000	N
Chr1:2835388-2835402	2	0.667	N
Chr1:2846553-2846608	907	101.493	N
Chr1:2850665-2850681	3	1.000	N
Chr1:2852008-2852022	2	0.290	N
Chr1:2859958-2859973	10	9.500	N
Chr1:2869153-2869222	4	2.298	N
Chr1:2877853-2877867	0	0.000	N
Chr1:2878122-2878136	6	2.666	N
Chr1:2879303-2879376	119	8.687	N
Chr1:2881495-2881509	1	0.500	N
Chr1:2883646-2883660	12	11.000	N
Chr1:2901503-2901513	0	0.000	N
Chr1:2903282-2903296	1	0.200	N
Chr1:2903860-2903876	85	29.198	N
Chr1:2907249-2907349	3	3.000	24
Chr1:2912833-2912848	2	0.750	N
Chr1:2923213-2923227	3	0.525	N
Chr1:2927807-2927819	6	6.000	N
Chr1:2936369-2936383	19	3.376	N
Chr1:2939416-2939491	13855	2086.563	N
Chr1:2940108-2940127	1	1.000	N
Chr1:2945924-2945939	26	3.500	N
Chr1:2947916-2947930	2	1.125	N
Chr1:2954208-2954226	314	297.295	N
Chr1:2960499-2960515	10	5.500	N
Chr1:2976215-2976237	3	3.000	24
Chr1:2976561-2976701	10	10.000	21
Chr1:2982530-2982533	0	0.000	N
Chr1:2986366-2986504	27	20.261	24
Chr1:2986732-2986842	11	9.088	24
Chr1:2989841-2989855	0	0.000	N
Chr1:2993348-2993778	91	91.000	24
Chr1:3000942-3000956	15	3.800	N
Chr1:3009152-3009709	43	42.501	N
Chr1:3012116-3012129	0	0.000	N
Chr1:3016097-3016498	18	9.304	N
Chr1:3016844-3016857	2	2.000	N
Chr1:3017080-3017173	12	6.667	N
Chr1:3017983-3018012	1	1.000	N
Chr1:3023505-3024276	91	40.959	24
Chr1:3027014-3027028	55	14.751	N
Chr1:3028329-3028343	0	0.000	N
Chr1:3040967-3040982	64	7.629	N
Chr1:3048971-3048986	3	1.833	N
Chr1:3060437-3060579	10	9.250	23
Chr1:3062048-3062104	48	45.499	24
Chr1:3063534-3063803	127	117.246	24
Chr1:3070421-3070436	8	4.166	N
Chr1:3073184-3074008	85	43.120	24
Chr1:3077593-3077610	2	1.000	N
Chr1:3085431-3085445	10	2.781	N
Chr1:3097765-3097780	34	8.337	N
Chr1:3109228-3109249	12	3.667	N
Chr1:3115862-3115876	3	0.783	N
Chr1:3136322-3136334	2	0.250	N
Chr1:3142234-3142249	38	34.249	N
Chr1:3144763-3144779	42	10.181	N
Chr1:3156100-3156116	111	108.114	N
Chr1:3158808-3158824	0	0.000	N
Chr1:3160140-3160154	39	11.033	N
Chr1:3162547-3162698	10	1.299	N
Chr1:3168529-3168545	24	8.203	N
Chr1:3169153-3169171	106	50.223	N
Chr1:3180537-3180720	232	132.634	N
Chr1:3187885-3187899	3	0.325	N
Chr1:3202807-3202822	3	1.500	N
Chr1:3220726-3220739	9	5.757	N
Chr1:3221099-3221113	3	0.750	N
Chr1:3224252-3224266	4	1.600	N
Chr1:3239442-3239456	14	4.543	N
Chr1:3250630-3250663	8	3.166	24
Chr1:3251287-3251501	66	10.593	24
Chr1:3253068-3253080	1	1.000	21
Chr1:3255594-3255608	4	4.000	N
Chr1:3258490-3258508	0	0.000	N
Chr1:3263425-3263544	1	0.500	N
Chr1:3274907-3274921	2	0.500	N
Chr1:3281602-3281618	20	17.422	N
Chr1:3282375-3282389	3	2.125	N
Chr1:3292494-3292506	0	0.000	N
Chr1:3302991-3303005	10	1.833	N
Chr1:3311204-3311219	10	4.562	N
Chr1:3313227-3313242	158	60.672	N
Chr1:3316654-3316675	7	6.000	N
Chr1:3321427-3321441	28	14.501	N
Chr1:3326948-3326962	4	4.000	N
Chr1:3341097-3341111	3	0.833	N
Chr1:3342600-3343013	49	14.666	24
Chr1:3343618-3343634	2	2.000	24
Chr1:3343898-3343932	22	11.000	24
Chr1:3344681-3344695	2	2.000	23
Chr1:3360531-3360997	68	21.950	N
Chr1:3362174-3362213	57	57.000	24
Chr1:3370744-3370758	9	8.500	N
Chr1:3371341-3371355	1	0.333	N
Chr1:3373047-3373061	4	3.333	N
Chr1:3377499-3377515	20	7.424	N
Chr1:3405737-3405752	15	14.334	N
Chr1:3406478-3406484	2	0.533	N
Chr1:3412956-3413232	139	122.709	24
Chr1:3413661-3413763	30	12.918	24
Chr1:3414033-3414311	27	10.981	24
Chr1:3414549-3414825	45	34.740	24
Chr1:3415053-3415068	11	2.458	N
Chr1:3418093-3418108	20	7.166	N
Chr1:3424591-3424605	18	3.834	N
Chr1:3427860-3428032	103	103.000	24
Chr1:3429268-3429426	5	4.125	21
Chr1:3431183-3431258	113	12.780	N
Chr1:3438503-3438517	2	0.125	N
Chr1:3438760-3438776	5	3.000	N
Chr1:3441086-3441100	35	7.000	N
Chr1:3443824-3443837	3	3.000	N
Chr1:3448774-3448788	18	4.351	N
Chr1:3462051-3462065	10	10.000	N
Chr1:3469624-3469846	120	24.012	N
Chr1:3471543-3471559	48	45.403	N
Chr1:3477785-3477801	8	1.271	N
Chr1:3485193-3485208	3	0.833	N
Chr1:3486678-3486692	25	12.500	N
Chr1:3487513-3487533	1	1.000	22
Chr1:3488825-3488840	24	5.028	N
Chr1:3497802-3498212	38	30.104	24
Chr1:3498881-3498988	54	52.499	24
Chr1:3501571-3501584	8	3.834	N
Chr1:3512930-3512946	1	1.000	N
Chr1:3515691-3515706	17	9.002	N
Chr1:3530897-3530913	16	8.062	N
Chr1:3542887-3542901	1	0.250	N
Chr1:3546555-3546570	4	0.553	N
Chr1:3546828-3547155	57	49.715	24
Chr1:3547373-3547779	82	66.026	24
Chr1:3551649-3551690	9	9.000	24
Chr1:3551967-3552040	12	11.125	24
Chr1:3552333-3552349	51	7.426	N
Chr1:3554417-3554431	45	15.583	N
