#Locus	Reads	Rep-total	DicerCall
Chr1:466981-466993	10	4.100	N
Chr1:471299-471314	5	1.800	N
Chr1:472161-472174	15	3.115	N
Chr1:481222-481236	17	2.783	N
Chr1:490189-490203	4	1.428	N
Chr1:499495-499669	6	3.169	24
Chr1:499900-500132	12	5.635	24
Chr1:500390-500706	10	4.217	24
Chr1:507966-507980	3	0.733	N
Chr1:512703-513124	47	36.608	24
Chr1:513416-513431	15	6.834	N
Chr1:514139-514153	6	3.733	N
Chr1:515494-515550	195	11.408	N
Chr1:536871-536885	49	5.042	N
Chr1:538650-538657	4	3.125	N
Chr1:539740-539764	4	4.000	N
Chr1:540545-540962	29	14.007	24
Chr1:543687-543702	30	20.367	N
Chr1:549623-550856	27	8.497	24
Chr1:552639-552714	487	71.686	N
Chr1:561499-561515	2	1.333	N
Chr1:568271-568286	5	1.583	N
Chr1:587575-587979	40	17.272	23
Chr1:599484-599646	8	4.250	23
Chr1:604402-604457	52	3.042	N
Chr1:605773-605788	2	0.667	N
Chr1:608060-608081	4	4.000	N
Chr1:608605-608839	3	2.500	N
Chr1:612658-612705	13	13.000	24
Chr1:613624-613641	109	54.020	N
Chr1:614978-614992	1	0.250	N
Chr1:620167-620182	19	6.167	N
Chr1:624109-624125	26	7.267	N
Chr1:624949-624962	0	0.000	N
Chr1:634215-634566	73	57.758	24
Chr1:635401-635421	5	3.500	21
Chr1:639732-641202	15	8.694	N
Chr1:648964-648977	4	0.850	N
Chr1:651823-651840	4	3.167	N
Chr1:659018-659023	0	0.000	N
Chr1:659604-659625	1	1.000	N
Chr1:661436-661452	0	0.000	N
Chr1:661753-661764	1	1.000	N
Chr1:662075-662111	2	1.031	N
Chr1:670658-670888	14	13.500	24
Chr1:681660-681675	22	8.382	N
Chr1:685194-685210	14	4.900	N
Chr1:696491-696735	11	6.244	24
Chr1:697305-697383	4	1.386	24
Chr1:717329-717344	80	49.072	N
Chr1:728666-728680	0	0.000	N
Chr1:734344-734359	25	6.667	N
Chr1:738681-738697	0	0.000	N
Chr1:744519-744658	2	1.125	N
Chr1:752951-752966	0	0.000	N
Chr1:753435-753874	41	39.499	N
Chr1:758635-758739	6	0.533	24
Chr1:759050-759194	9	6.577	24
Chr1:759565-760434	11	1.233	23
Chr1:761373-761389	8	4.000	N
Chr1:769062-769078	10	5.200	N
Chr1:770231-770242	1	0.062	N
Chr1:781073-782056	50	14.540	24
Chr1:785348-785369	1	1.000	23
Chr1:788015-788024	7	2.843	N
Chr1:789457-789709	13	11.500	24
Chr1:791760-792467	50	27.910	24
Chr1:794046-794061	34	9.636	N
Chr1:805304-805319	3	1.500	N
Chr1:812679-812692	2	0.500	N
Chr1:822247-822409	18	17.249	24
Chr1:831782-831797	0	0.000	N
Chr1:847039-847133	2	1.167	N
Chr1:853223-853238	14	4.476	N
Chr1:859509-859523	18	5.834	N
Chr1:863257-863270	2	0.222	N
Chr1:866790-866805	0	0.000	N
Chr1:869371-869522	9	2.400	N
Chr1:872488-872502	1	0.333	N
Chr1:875056-875605	120	61.464	N
Chr1:877448-877700	79	4.100	N
Chr1:888878-889530	45	10.800	24
Chr1:891059-891060	0	0.000	N
Chr1:892514-892587	191	30.140	N
Chr1:899399-899411	4	4.000	N
Chr1:909824-909883	208	11.690	N
Chr1:913452-913461	0	0.000	N
Chr1:916982-917041	5	5.000	N
Chr1:917665-917667	2	2.000	N
Chr1:936241-936255	10	2.500	N
Chr1:937203-937485	124	112.654	N
Chr1:938215-938229	6	1.188	N
Chr1:939063-939077	12	4.675	N
Chr1:943305-943319	1	0.333	N
Chr1:944174-944418	43	43.000	24
Chr1:948440-948456	0	0.000	N
Chr1:951734-951752	5	2.399	N
Chr1:952751-952765	0	0.000	N
Chr1:954811-954825	4	0.475	N
Chr1:958651-958908	34	33.500	24
Chr1:981817-981818	6	1.630	N
Chr1:982669-982686	20	15.792	N
Chr1:989315-989329	63	21.502	N
Chr1:998916-998932	1	0.500	N
Chr1:1008591-1009356	155	90.567	N
Chr1:1014375-1014391	21	5.233	N
Chr1:1016530-1016545	4	2.667	N
Chr1:1027276-1027288	14	7.084	N
Chr1:1032122-1032136	0	0.000	N
Chr1:1032578-1032592	0	0.000	N
Chr1:1038560-1038575	2	0.263	N
Chr1:1041835-1041849	3	0.750	N
Chr1:1043493-1043508	2	1.250	N
Chr1:1054124-1054138	53	5.888	N
Chr1:1058906-1058923	8	3.500	N
Chr1:1075497-1075512	18	15.093	N
Chr1:1079631-1079645	0	0.000	N
Chr1:1080445-1080462	17	8.833	N
Chr1:1084105-1084122	26	11.684	N
Chr1:1089078-1089092	0	0.000	N
Chr1:1089547-1089561	4	1.375	N
Chr1:1094703-1094720	526	171.897	N
Chr1:1099615-1099625	3	3.000	N
Chr1:1106444-1106461	4	4.000	N
Chr1:1111050-1111064	5	1.250	N
Chr1:1113858-1113871	7	1.711	N
Chr1:1128456-1128486	4	3.333	N
Chr1:1141780-1141806	7	7.000	N
Chr1:1150663-1150677	7	7.000	N
Chr1:1159023-1159106	101	10.908	N
Chr1:1160229-1160306	8	4.298	24
Chr1:1160791-1161234	7	4.283	22
Chr1:1168512-1168527	0	0.000	N
Chr1:1171227-1171243	29	13.152	N
Chr1:1184758-1185134	18	15.719	N
Chr1:1189319-1190195	26	23.499	N
Chr1:1190782-1190810	5	5.000	22
Chr1:1191229-1191295	12	11.250	N
Chr1:1194393-1195179	75	42.135	24
Chr1:1196816-1196871	2	2.000	21
Chr1:1200105-1200118	5	2.250	N
Chr1:1202570-1202587	90	29.520	N
Chr1:1205831-1205845	0	0.000	N
Chr1:1208706-1208722	5	2.000	N
Chr1:1215706-1215813	97	45.037	N
Chr1:1216721-1217062	73	69.043	N
Chr1:1241336-1241349	2	2.000	N
Chr1:1245071-1245087	73	54.334	N
Chr1:1249740-1250892	41	14.399	24
Chr1:1256601-1256615	2	1.500	N
Chr1:1257312-1257329	1	0.091	N
Chr1:1258567-1258582	0	0.000	N
Chr1:1269830-1269846	5	3.000	N
Chr1:1276118-1276196	15	4.566	24
Chr1:1276528-1276655	14	10.077	24
Chr1:1286186-1286200	0	0.000	N
Chr1:1286864-1286925	7	7.000	24
Chr1:1289031-1289463	15	0.818	24
Chr1:1303765-1303773	3	1.583	N
Chr1:1304229-1304248	0	0.000	N
Chr1:1308466-1308482	2	0.333	N
Chr1:1314743-1314757	1	0.083	N
Chr1:1324973-1324990	20	1.810	N
Chr1:1336737-1336752	0	0.000	N
Chr1:1348708-1348939	16	5.008	N
Chr1:1350033-1350048	10	1.782	N
Chr1:1353314-1353328	0	0.000	N
Chr1:1368471-1368486	3	1.000	N
Chr1:1382396-1382411	1	0.333	N
Chr1:1387028-1387043	27	21.792	N
Chr1:1393075-1393089	0	0.000	N
Chr1:1398803-1398818	2	0.667	N
Chr1:1400953-1400969	0	0.000	N
Chr1:1402365-1402379	2	0.095	N
Chr1:1414686-1414701	2	0.476	N
Chr1:1430268-1430436	14	6.643	24
Chr1:1430729-1431036	34	15.548	24
Chr1:1431452-1432134	14	13.250	N
Chr1:1432362-1432396	1	1.000	N
Chr1:1432605-1432623	1	1.000	N
Chr1:1434477-1434489	0	0.000	N
Chr1:1436671-1436684	3	1.667	N
Chr1:1437869-1437883	14	10.366	N
Chr1:1441523-1442319	43	26.832	24
Chr1:1442680-1443158	5	3.500	22
Chr1:1443659-1444570	41	25.527	24
Chr1:1445306-1446263	92	60.959	24
Chr1:1446507-1446521	14	1.056	N
Chr1:1450013-1450030	88	30.580	N
Chr1:1451802-1451815	3	0.682	N
Chr1:1463320-1463333	0	0.000	N
Chr1:1471165-1471184	3	1.000	20
Chr1:1476454-1476725	15	10.085	24
Chr1:1477852-1478381	10	9.250	N
Chr1:1478660-1478822	9	9.000	N
Chr1:1486778-1486802	0	0.000	N
Chr1:1490784-1490794	12	6.950	N
Chr1:1491759-1491773	0	0.000	N
Chr1:1502758-1502774	2	2.000	N
Chr1:1510493-1510508	0	0.000	N
Chr1:1513612-1513628	5	3.444	N
Chr1:1514212-1514226	1	1.000	N
Chr1:1522834-1523426	44	39.085	24
Chr1:1532186-1532202	38	12.031	N
Chr1:1540252-1540269	0	0.000	N
Chr1:1545206-1545221	1	0.100	N
Chr1:1554689-1554696	9	3.578	N
Chr1:1566512-1566528	4	0.858	N
Chr1:1575053-1575068	15	7.093	N
Chr1:1580658-1580672	1	0.500	N
Chr1:1583791-1583845	88	63.078	N
Chr1:1592517-1592618	21	21.000	24
Chr1:1593146-1593169	0	0.000	N
Chr1:1598282-1598526	160	160.000	24
Chr1:1607522-1607536	1	0.143	N
Chr1:1611421-1611435	0	0.000	N
Chr1:1613257-1614693	114	71.250	N
Chr1:1617724-1617778	55	43.335	24
Chr1:1619282-1619296	0	0.000	N
Chr1:1622043-1622057	8	8.000	N
Chr1:1626691-1626705	0	0.000	N
Chr1:1637003-1637017	88	21.921	N
Chr1:1638275-1638298	2	2.000	N
Chr1:1643832-1643849	90	16.839	N
Chr1:1646232-1646246	70	17.612	N
Chr1:1653231-1653615	1	1.000	21
Chr1:1654905-1654920	0	0.000	N
Chr1:1661528-1661542	0	0.000	N
Chr1:1662402-1662421	0	0.000	N
Chr1:1667631-1667645	0	0.000	N
Chr1:1676764-1677046	5	4.500	23
Chr1:1680512-1680526	13	1.858	N
Chr1:1692703-1692740	0	0.000	N
Chr1:1702355-1702370	10	2.893	N
Chr1:1703428-1703442	0	0.000	N
Chr1:1704780-1704796	125	27.637	N
Chr1:1705444-1705474	4	3.091	N
Chr1:1705953-1706120	9	5.277	24
Chr1:1706433-1706454	1	1.000	24
Chr1:1707805-1707820	0	0.000	N
Chr1:1710990-1711006	10	3.486	N
Chr1:1711587-1711602	1	0.111	N
Chr1:1712766-1712781	5	4.333	N
Chr1:1713259-1713274	0	0.000	N
Chr1:1716072-1716087	0	0.000	N
Chr1:1720673-1720688	6	1.700	N
Chr1:1725732-1725746	42	8.749	N
Chr1:1727122-1727487	13	12.500	21
Chr1:1728731-1729224	13	10.266	24
Chr1:1738996-1739172	76	48.997	24
Chr1:1742569-1742586	0	0.000	N
Chr1:1745297-1745326	1	1.000	N
Chr1:1748580-1748580	0	0.000	N
Chr1:1751299-1751314	12	3.767	N
Chr1:1759856-1759871	0	0.000	N
Chr1:1762048-1762063	2	0.167	N
Chr1:1764408-1764418	0	0.000	N
Chr1:1766643-1767431	21	19.582	N
Chr1:1767683-1768088	7	3.311	N
Chr1:1768563-1768584	0	0.000	N
Chr1:1781709-1781723	0	0.000	N
Chr1:1787500-1787507	7	0.538	N
Chr1:1790140-1790154	1	0.250	N
Chr1:1797060-1797076	0	0.000	N
Chr1:1799901-1799916	98	91.003	N
Chr1:1803119-1803143	2	2.000	N
Chr1:1817400-1817473	144	24.523	N
Chr1:1835810-1835825	0	0.000	N
Chr1:1875507-1876767	32	22.627	24
Chr1:1879036-1879052	6	1.667	N
Chr1:1881910-1882258	77	77.000	24
Chr1:1884283-1884321	2	2.000	N
Chr1:1898930-1898944	12	4.133	N
Chr1:1900004-1900019	0	0.000	N
Chr1:1904018-1904033	0	0.000	N
Chr1:1905132-1905146	11	3.666	N
Chr1:1923719-1923734	0	0.000	N
Chr1:1935510-1935525	3	1.533	N
Chr1:1944858-1944904	21	21.000	N
Chr1:1956289-1956390	12	3.602	N
Chr1:1961027-1961047	2	2.000	N
Chr1:1975093-1975587	10	3.247	24
Chr1:1975914-1976579	16	11.296	23
Chr1:1978084-1978173	19	2.134	N
Chr1:1981156-1981171	0	0.000	N
Chr1:2001711-2001733	0	0.000	N
Chr1:2005107-2005122	8	7.000	N
Chr1:2010182-2010197	3	0.500	N
Chr1:2014731-2014747	0	0.000	N
Chr1:2014950-2015191	9	5.000	21
Chr1:2017423-2017437	1	0.500	N
Chr1:2024683-2024699	10	9.167	N
Chr1:2024939-2024954	1	0.200	N
Chr1:2025353-2025411	700	56.700	N
Chr1:2041337-2041352	0	0.000	N
Chr1:2047925-2048672	119	115.061	N
Chr1:2048901-2049329	102	99.583	N
Chr1:2056697-2056710	0	0.000	N
Chr1:2077462-2077515	3	3.000	N
Chr1:2084872-2084885	1	0.500	N
Chr1:2095828-2095844	67	11.202	N
Chr1:2107255-2107468	772	551.208	N
Chr1:2111057-2111218	727	462.881	N
Chr1:2135481-2135493	6	1.483	N
Chr1:2137216-2137231	132	24.156	N
Chr1:2151949-2152054	39	15.659	N
Chr1:2153242-2153259	24	12.617	N
Chr1:2154771-2154784	10	2.401	N
Chr1:2156307-2156359	196	48.294	N
Chr1:2157120-2157671	54	10.454	24
Chr1:2161275-2161296	0	0.000	N
Chr1:2165554-2165711	30	30.000	21
Chr1:2167088-2167106	0	0.000	N
Chr1:2170763-2170782	0	0.000	N
Chr1:2174537-2174551	7	1.000	N
Chr1:2177885-2177950	99	26.314	N
Chr1:2201636-2201653	11	4.901	N
Chr1:2208582-2208600	0	0.000	N
Chr1:2215568-2215582	2	0.400	N
Chr1:2217186-2217200	5	1.450	N
Chr1:2224718-2224729	3	1.667	N
Chr1:2227208-2227223	5	5.000	N
Chr1:2233808-2234534	15	4.986	24
Chr1:2249579-2249593	2	1.250	N
Chr1:2249893-2249895	2	1.250	N
Chr1:2253858-2253875	25	7.742	N
Chr1:2261059-2261074	3	0.429	N
Chr1:2262021-2262036	0	0.000	N
Chr1:2263411-2263426	2	0.533	N
Chr1:2271668-2271868	20	4.334	N
Chr1:2282594-2282609	10	8.154	N
Chr1:2282928-2282948	0	0.000	N
Chr1:2287333-2287347	9	2.900	N
Chr1:2292454-2292469	19	7.167	N
Chr1:2295288-2295301	2	1.333	N
Chr1:2296278-2296292	1	0.500	N
Chr1:2297777-2297792	1	0.333	N
Chr1:2298469-2298484	15	5.944	N
Chr1:2298766-2298781	11	3.000	N
Chr1:2334817-2334897	693	47.748	N
Chr1:2335191-2335247	2	0.095	N
Chr1:2337988-2338002	0	0.000	N
Chr1:2338800-2338963	13	11.001	N
Chr1:2339293-2339323	5	4.500	N
Chr1:2340188-2340430	34	29.267	24
Chr1:2341624-2341625	2	0.833	N
Chr1:2342912-2342926	0	0.000	N
Chr1:2350607-2350623	5	1.077	N
Chr1:2364361-2364376	0	0.000	N
Chr1:2368840-2369076	8	2.166	N
Chr1:2369799-2369903	15	3.944	N
Chr1:2387489-2387503	1	0.200	N
Chr1:2396722-2396854	86	12.057	N
Chr1:2400002-2400182	13	5.466	N
Chr1:2406710-2406906	483	67.523	N
Chr1:2415633-2415968	23	23.000	24
Chr1:2417420-2417440	4	2.000	N
Chr1:2424318-2424334	0	0.000	N
Chr1:2427631-2427645	0	0.000	N
Chr1:2428300-2428308	1	1.000	N
Chr1:2434957-2434971	12	4.500	N
Chr1:2438006-2438243	4	4.000	N
Chr1:2438791-2438811	1	1.000	N
Chr1:2439134-2439151	0	0.000	N
Chr1:2439431-2439461	8	7.200	N
Chr1:2444647-2444660	1	0.333	N
Chr1:2454859-2454872	0	0.000	N
Chr1:2455741-2455761	2	0.833	N
Chr1:2456389-2456427	4	1.000	N
Chr1:2457074-2457088	1	1.000	N
Chr1:2459117-2459404	7	3.083	N
Chr1:2459846-2459888	12	3.000	N
Chr1:2460344-2460365	3	1.333	N
Chr1:2463439-2463463	6	2.167	N
Chr1:2463918-2463965	14	3.375	N
Chr1:2464333-2464347	5	1.666	20
Chr1:2464590-2464614	5	1.834	N
Chr1:2464947-2464962	0	0.000	N
Chr1:2467933-2467950	1	1.000	N
Chr1:2472878-2473288	40	28.564	24
Chr1:2473826-2473839	0	0.000	N
Chr1:2477382-2477396	0	0.000	N
Chr1:2484488-2484503	0	0.000	N
Chr1:2484957-2484971	0	0.000	N
Chr1:2512500-2512510	8	1.417	N
Chr1:2515023-2515038	1	0.071	N
Chr1:2518535-2518551	16	12.238	N
Chr1:2522924-2522939	0	0.000	N
Chr1:2525870-2525884	0	0.000	N
Chr1:2526904-2526947	2	2.000	24
Chr1:2531436-2531861	44	21.859	24
Chr1:2532265-2532419	4	1.333	N
Chr1:2532694-2532726	1	0.333	24
Chr1:2532940-2534126	20	5.478	24
Chr1:2534536-2534796	18	16.501	24
Chr1:2538076-2538234	126	45.877	N
Chr1:2547027-2547042	2	0.196	N
Chr1:2560107-2560123	8	1.822	N
Chr1:2565327-2565341	0	0.000	N
Chr1:2574528-2574548	3	2.250	N
Chr1:2577832-2577847	0	0.000	N
Chr1:2587337-2587558	15	4.279	N
Chr1:2587783-2588596	8260	686.406	N
Chr1:2595909-2595923	1	0.500	N
Chr1:2600434-2600449	3	1.667	N
Chr1:2615025-2615039	13	7.917	N
Chr1:2636726-2636742	3	3.000	N
Chr1:2640957-2641272	132	129.386	N
Chr1:2641499-2641714	19	19.000	N
Chr1:2646119-2646133	6	0.917	N
Chr1:2657436-2657897	88	68.807	24
Chr1:2659053-2659067	2	1.500	N
Chr1:2670384-2670386	2	2.000	N
Chr1:2674465-2674481	10	2.952	N
Chr1:2676169-2676184	4	1.164	N
Chr1:2682976-2682991	9	2.417	N
Chr1:2688948-2688962	22	6.349	N
Chr1:2693569-2693585	6	0.893	N
Chr1:2699605-2699615	3	0.333	N
Chr1:2711007-2711022	11	5.333	N
Chr1:2718979-2718993	15	14.100	N
Chr1:2727029-2727045	16	3.307	N
Chr1:2739192-2739207	1	1.000	N
Chr1:2740509-2740524	17	1.703	N
Chr1:2745647-2745661	27	25.534	N
Chr1:2763628-2763642	0	0.000	N
Chr1:2765585-2765599	0	0.000	N
Chr1:2767426-2767441	14	3.277	N
Chr1:2770564-2770578	19	9.084	N
Chr1:2788433-2788752	17	3.934	24
Chr1:2788987-2789183	5	0.967	24
Chr1:2790032-2790035	0	0.000	N
Chr1:2790314-2790472	3	0.567	24
Chr1:2790732-2791147	4	0.700	N
Chr1:2791403-2791496	2	0.400	23
Chr1:2791771-2791925	3	0.533	N
Chr1:2792164-2792170	2	0.400	24
Chr1:2792616-2792646	1	0.200	24
Chr1:2792892-2793059	23	2.928	N
Chr1:2793386-2793388	0	0.000	N
Chr1:2793609-2794326	18	3.069	23
Chr1:2795063-2795119	4	0.667	24
Chr1:2795405-2795968	9	1.700	23
Chr1:2796358-2796383	0	0.000	N
Chr1:2796614-2797342	10	1.725	24
Chr1:2797708-2797870	1	0.167	20
Chr1:2798361-2798378	1	0.200	24
Chr1:2798668-2799404	7	1.300	24
Chr1:2799787-2800696	45	10.224	24
Chr1:2802695-2802710	2	0.317	N
Chr1:2803058-2803074	226	35.663	N
Chr1:2804335-2804350	0	0.000	N
Chr1:2805695-2805710	6	0.698	N
Chr1:2813165-2813179	13	7.068	N
Chr1:2829132-2829137	1	1.000	21
Chr1:2830919-2830936	16	6.766	N
Chr1:2833628-2833642	1	1.000	N
Chr1:2835388-2835402	0	0.000	N
Chr1:2846553-2846608	442	46.410	N
Chr1:2850665-2850681	2	0.583	N
Chr1:2852008-2852022	13	3.266	N
Chr1:2859958-2859973	0	0.000	N
Chr1:2869153-2869222	3	0.750	N
Chr1:2877853-2877867	6	1.750	N
Chr1:2878122-2878136	4	3.053	N
Chr1:2879303-2879376	68	5.603	N
Chr1:2881495-2881509	32	7.168	N
Chr1:2883646-2883660	0	0.000	N
Chr1:2901503-2901513	2	0.400	N
Chr1:2903282-2903296	1	0.200	N
Chr1:2903860-2903876	118	43.330	N
Chr1:2907249-2907349	0	0.000	N
Chr1:2912833-2912848	3	0.750	N
Chr1:2923213-2923227	3	0.450	N
Chr1:2927807-2927819	0	0.000	N
Chr1:2936369-2936383	0	0.000	N
Chr1:2939416-2939491	4802	728.463	N
Chr1:2940108-2940127	1	1.000	24
Chr1:2945924-2945939	0	0.000	N
Chr1:2947916-2947930	4	0.875	N
Chr1:2954208-2954226	11	10.333	N
Chr1:2960499-2960515	0	0.000	N
Chr1:2976215-2976237	0	0.000	N
Chr1:2976561-2976701	0	0.000	N
Chr1:2982530-2982533	12	4.750	N
Chr1:2986366-2986504	8	6.445	24
Chr1:2986732-2986842	3	2.500	N
Chr1:2989841-2989855	17	4.250	N
Chr1:2993348-2993778	11	10.063	24
Chr1:3000942-3000956	1	0.333	N
Chr1:3009152-3009709	27	27.000	N
Chr1:3012116-3012129	1	0.050	N
Chr1:3016097-3016498	11	11.000	N
Chr1:3016844-3016857	1	1.000	N
Chr1:3017080-3017173	6	6.000	N
Chr1:3017983-3018012	5	5.000	N
Chr1:3023505-3024276	18	8.766	24
Chr1:3027014-3027028	2	0.750	N
Chr1:3028329-3028343	21	2.373	N
Chr1:3040967-3040982	25	3.188	N
Chr1:3048971-3048986	1	0.500	N
Chr1:3060437-3060579	1	1.000	23
Chr1:3062048-3062104	7	6.000	24
Chr1:3063534-3063803	21	19.750	24
Chr1:3070421-3070436	0	0.000	N
Chr1:3073184-3074008	12	7.320	24
Chr1:3077593-3077610	0	0.000	N
Chr1:3085431-3085445	4	0.598	N
Chr1:3097765-3097780	1	0.125	N
Chr1:3109228-3109249	6	2.333	N
Chr1:3115862-3115876	13	4.783	N
Chr1:3136322-3136334	3	3.000	N
Chr1:3142234-3142249	0	0.000	N
Chr1:3144763-3144779	2	0.424	N
Chr1:3156100-3156116	1	1.000	N
Chr1:3158808-3158824	2	2.000	N
Chr1:3160140-3160154	2	0.333	N
Chr1:3162547-3162698	26	3.224	N
Chr1:3168529-3168545	91	39.458	N
Chr1:3169153-3169171	38	21.071	N
Chr1:3180537-3180720	175	53.042	N
Chr1:3187885-3187899	2	0.200	N
Chr1:3202807-3202822	5	2.000	N
Chr1:3220726-3220739	0	0.000	N
Chr1:3221099-3221113	3	2.333	N
Chr1:3224252-3224266	15	3.800	N
Chr1:3239442-3239456	1	0.250	N
Chr1:3250630-3250663	2	0.833	24
Chr1:3251287-3251501	16	3.834	24
Chr1:3253068-3253080	11	3.500	N
Chr1:3255594-3255608	0	0.000	N
Chr1:3258490-3258508	3	3.000	N
Chr1:3263425-3263544	1	0.500	24
Chr1:3274907-3274921	8	1.666	N
Chr1:3281602-3281618	0	0.000	N
Chr1:3282375-3282389	15	3.535	N
Chr1:3292494-3292506	16	3.435	N
Chr1:3302991-3303005	3	0.567	N
Chr1:3311204-3311219	4	0.767	N
Chr1:3313227-3313242	1	0.333	N
Chr1:3316654-3316675	0	0.000	N
Chr1:3321427-3321441	0	0.000	N
Chr1:3326948-3326962	0	0.000	N
Chr1:3341097-3341111	2	0.583	N
Chr1:3342600-3343013	14	3.752	24
Chr1:3343618-3343634	0	0.000	N
Chr1:3343898-3343932	9	5.000	24
Chr1:3344681-3344695	1	1.000	23
Chr1:3360531-3360997	16	8.618	24
Chr1:3362174-3362213	17	16.199	24
Chr1:3370744-3370758	1	0.500	N
Chr1:3371341-3371355	4	1.200	N
Chr1:3373047-3373061	3	1.700	N
Chr1:3377499-3377515	2	1.500	N
Chr1:3405737-3405752	1	0.056	N
Chr1:3406478-3406484	7	1.567	N
Chr1:3412956-3413232	42	38.669	24
Chr1:3413661-3413763	7	4.750	24
Chr1:3414033-3414311	12	5.628	24
Chr1:3414549-3414825	12	9.575	23
Chr1:3415053-3415068	2	0.500	N
Chr1:3418093-3418108	8	7.166	N
Chr1:3424591-3424605	0	0.000	N
Chr1:3427860-3428032	26	26.000	24
Chr1:3429268-3429426	2	1.500	N
Chr1:3431183-3431258	63	5.468	N
Chr1:3438503-3438517	4	0.458	N
Chr1:3438760-3438776	1	0.250	N
Chr1:3441086-3441100	2	0.400	N
Chr1:3443824-3443837	1	1.000	N
Chr1:3448774-3448788	11	3.349	N
Chr1:3462051-3462065	0	0.000	N
Chr1:3469624-3469846	109	32.079	N
Chr1:3471543-3471559	0	0.000	N
Chr1:3477785-3477801	0	0.000	N
Chr1:3485193-3485208	55	17.336	N
Chr1:3486678-3486692	0	0.000	N
Chr1:3487513-3487533	1	1.000	24
Chr1:3488825-3488840	0	0.000	N
Chr1:3497802-3498212	11	10.499	24
Chr1:3498881-3498988	18	17.500	24
Chr1:3501571-3501584	0	0.000	N
Chr1:3512930-3512946	1	1.000	N
Chr1:3515691-3515706	0	0.000	N
Chr1:3530897-3530913	1	1.000	N
Chr1:3542887-3542901	6	1.667	N
Chr1:3546555-3546570	3	0.605	N
Chr1:3546828-3547155	20	18.000	24
Chr1:3547373-3547779	25	20.200	24
Chr1:3551649-3551690	1	1.000	24
Chr1:3551967-3552040	0	0.000	N
Chr1:3552333-3552349	24	3.084	N
Chr1:3554417-3554431	46	15.999	N
Chr1:3573038-3573180	0	0.000	N
