#Locus	Reads	Rep-total	DicerCall
Chr1:568271-568286	17	5.284	N
Chr1:587575-587979	220	82.324	23
Chr1:599484-599646	56	27.782	23
Chr1:604402-604457	138	8.501	N
Chr1:605773-605788	4	1.333	N
Chr1:608060-608081	1	1.000	N
Chr1:608605-608839	13	11.700	N
Chr1:612658-612705	53	51.834	N
Chr1:613624-613641	576	283.853	N
Chr1:614978-614992	41	10.582	N
Chr1:620167-620182	5	1.250	N
Chr1:624109-624125	6	1.700	N
Chr1:624949-624962	25	18.905	N
Chr1:634215-634566	296	227.387	24
Chr1:635401-635421	18	12.001	21
Chr1:639732-641202	129	73.917	N
Chr1:648964-648977	2	0.450	N
Chr1:651823-651840	28	22.490	N
Chr1:659018-659023	6	5.000	N
Chr1:659604-659625	11	5.778	N
Chr1:661436-661452	11	11.000	N
Chr1:661753-661764	6	6.000	N
Chr1:662075-662111	13	11.500	N
Chr1:670658-670888	142	141.006	24
Chr1:681660-681675	4	0.967	N
Chr1:685194-685210	414	141.133	N
Chr1:696491-696735	53	23.092	24
Chr1:697305-697383	11	0.897	23
Chr1:717329-717344	5	1.797	N
Chr1:728666-728680	11	1.059	N
Chr1:734344-734359	59	15.417	N
Chr1:738681-738697	13	6.733	N
Chr1:744519-744658	31	20.051	N
Chr1:752951-752966	10	2.500	N
Chr1:753435-753874	45	41.148	N
Chr1:758635-758739	48	3.816	24
Chr1:759050-759194	35	11.953	24
Chr1:759565-760434	49	10.329	24
Chr1:761373-761389	7	2.729	N
Chr1:769062-769078	3	2.200	N
Chr1:770231-770242	3	0.188	N
Chr1:781073-782056	214	65.035	24
Chr1:785348-785369	0	0.000	N
Chr1:788015-788024	2	0.226	N
Chr1:789457-789709	269	247.991	24
Chr1:791760-792467	219	115.457	24
Chr1:794046-794061	0	0.000	N
Chr1:805304-805319	51	45.477	N
Chr1:812679-812692	3	0.750	N
Chr1:822247-822409	133	133.000	24
Chr1:831782-831797	18	5.350	N
Chr1:847039-847133	2	2.000	21
Chr1:853223-853238	3	1.000	N
Chr1:859509-859523	1	0.333	N
Chr1:863257-863270	2	1.200	N
Chr1:866790-866805	10	10.000	N
Chr1:869371-869522	4	3.100	N
Chr1:872488-872502	1	0.125	N
Chr1:875056-875605	274	133.904	N
Chr1:877448-877700	186	7.477	N
Chr1:888878-889530	177	44.887	24
Chr1:891059-891060	0	0.000	N
Chr1:892514-892587	109	27.969	N
Chr1:899399-899411	2	2.000	N
Chr1:909824-909883	422	24.054	N
Chr1:913452-913461	5	3.000	N
Chr1:916982-917041	4	4.000	N
Chr1:917665-917667	2	2.000	N
Chr1:936241-936255	11	1.834	N
Chr1:937203-937485	223	206.007	N
Chr1:938215-938229	22	5.625	N
Chr1:939063-939077	3	1.000	N
Chr1:943305-943319	4	1.333	N
Chr1:944174-944418	301	300.488	24
Chr1:948440-948456	2	2.000	N
Chr1:951734-951752	32	15.322	N
Chr1:952751-952765	9	5.433	N
Chr1:954811-954825	8	2.042	N
Chr1:958651-958908	159	159.000	24
Chr1:981817-981818	3	2.250	N
Chr1:982669-982686	9	3.945	N
Chr1:989315-989329	0	0.000	N
Chr1:998916-998932	35	25.333	N
Chr1:1008591-1009356	425	273.912	N
Chr1:1014375-1014391	9	3.966	N
Chr1:1016530-1016545	5	2.071	N
Chr1:1027276-1027288	1	0.333	N
Chr1:1032122-1032136	5	4.250	N
Chr1:1032578-1032592	7	4.000	N
Chr1:1038560-1038575	10	2.602	N
Chr1:1041835-1041849	2	0.500	N
Chr1:1043493-1043508	8	5.500	N
Chr1:1054124-1054138	1	0.111	N
Chr1:1058906-1058923	14	5.334	N
Chr1:1075497-1075512	17	10.219	N
Chr1:1079631-1079645	16	10.250	N
Chr1:1080445-1080462	16	12.000	N
Chr1:1084105-1084122	10	4.450	N
Chr1:1089078-1089092	6	5.000	N
Chr1:1089547-1089561	2	0.250	N
Chr1:1094703-1094720	20	6.584	N
Chr1:1099615-1099625	3	3.000	N
Chr1:1106444-1106461	30	29.250	N
Chr1:1111050-1111064	2	0.500	N
Chr1:1113858-1113871	5	1.267	N
Chr1:1128456-1128486	3	3.000	22
Chr1:1141780-1141806	13	13.000	N
Chr1:1150663-1150677	21	21.000	N
Chr1:1159023-1159106	255	28.535	N
Chr1:1160229-1160306	68	20.012	24
Chr1:1160791-1161234	37	28.494	24
Chr1:1168512-1168527	15	12.150	N
Chr1:1171227-1171243	9	2.850	N
Chr1:1184758-1185134	81	81.000	24
Chr1:1189319-1190195	65	63.999	N
Chr1:1190782-1190810	8	8.000	N
Chr1:1191229-1191295	19	18.500	N
Chr1:1194393-1195179	447	235.390	24
Chr1:1196816-1196871	30	30.000	24
Chr1:1200105-1200118	5	2.429	N
Chr1:1202570-1202587	0	0.000	N
Chr1:1205831-1205845	11	1.417	N
Chr1:1208706-1208722	9	3.541	N
Chr1:1215706-1215813	212	137.312	N
Chr1:1216721-1217062	164	163.000	N
Chr1:1241336-1241349	2	1.091	N
Chr1:1245071-1245087	647	552.603	N
Chr1:1249740-1250892	155	52.994	24
Chr1:1256601-1256615	4	1.491	N
Chr1:1257312-1257329	22	9.821	N
Chr1:1258567-1258582	9	3.072	N
Chr1:1269830-1269846	4	2.111	N
Chr1:1276118-1276196	71	18.787	24
Chr1:1276528-1276655	56	49.073	24
Chr1:1286186-1286200	7	1.000	N
Chr1:1286864-1286925	47	47.000	24
Chr1:1289031-1289463	64	4.934	24
Chr1:1303765-1303773	7	3.000	N
Chr1:1304229-1304248	4	4.000	N
Chr1:1308466-1308482	3	0.500	N
Chr1:1314743-1314757	2	0.167	N
Chr1:1324973-1324990	57	6.048	N
Chr1:1336737-1336752	5	2.000	N
Chr1:1348708-1348939	15	3.662	N
Chr1:1350033-1350048	4	0.800	N
Chr1:1353314-1353328	10	2.500	N
Chr1:1368471-1368486	2	0.667	N
Chr1:1382396-1382411	8	3.037	N
Chr1:1387028-1387043	13	8.393	N
Chr1:1393075-1393089	6	0.955	N
Chr1:1398803-1398818	4	1.333	N
Chr1:1400953-1400969	6	6.000	N
Chr1:1402365-1402379	1	0.048	N
Chr1:1414686-1414701	0	0.000	N
Chr1:1430268-1430436	83	31.067	24
Chr1:1430729-1431036	194	68.579	24
Chr1:1431452-1432134	62	59.619	N
Chr1:1432362-1432396	4	4.000	N
Chr1:1432605-1432623	3	3.000	N
Chr1:1434477-1434489	2	0.476	N
Chr1:1436671-1436684	2	0.667	N
Chr1:1437869-1437883	2	2.000	N
Chr1:1441523-1442319	242	156.889	24
Chr1:1442680-1443158	39	19.149	24
Chr1:1443659-1444570	217	113.599	24
Chr1:1445306-1446263	412	317.199	24
Chr1:1446507-1446521	0	0.000	N
Chr1:1450013-1450030	113	36.928	N
Chr1:1451802-1451815	4	1.424	N
Chr1:1463320-1463333	5	5.000	N
Chr1:1471165-1471184	8	2.666	N
Chr1:1476454-1476725	49	28.552	24
Chr1:1477852-1478381	35	33.166	N
Chr1:1478660-1478822	29	28.501	N
Chr1:1486778-1486802	7	3.333	24
Chr1:1490784-1490794	3	0.783	N
Chr1:1491759-1491773	7	1.649	N
Chr1:1502758-1502774	4	4.000	N
Chr1:1510493-1510508	11	7.285	N
Chr1:1513612-1513628	1	1.000	N
Chr1:1514212-1514226	9	9.000	N
Chr1:1522834-1523426	214	175.352	24
Chr1:1532186-1532202	6	2.000	N
Chr1:1540252-1540269	19	14.833	N
Chr1:1545206-1545221	1	0.100	N
Chr1:1554689-1554696	4	1.098	N
Chr1:1566512-1566528	45	12.483	N
Chr1:1575053-1575068	3	3.000	N
Chr1:1580658-1580672	2	1.000	N
Chr1:1583791-1583845	155	128.758	N
Chr1:1592517-1592618	106	105.502	24
Chr1:1593146-1593169	2	2.000	24
Chr1:1598282-1598526	841	841.000	24
Chr1:1607522-1607536	9	1.286	N
Chr1:1611421-1611435	7	4.533	N
Chr1:1613257-1614693	464	354.960	24
Chr1:1617724-1617778	193	159.264	24
Chr1:1619282-1619296	17	1.889	N
Chr1:1622043-1622057	0	0.000	N
Chr1:1626691-1626705	5	0.321	N
Chr1:1637003-1637017	66	16.863	N
Chr1:1638275-1638298	7	7.000	23
Chr1:1643832-1643849	62	19.673	N
Chr1:1646232-1646246	43	10.750	N
Chr1:1653231-1653615	26	26.000	21
Chr1:1654905-1654920	8	6.000	N
Chr1:1661528-1661542	18	9.000	N
Chr1:1662402-1662421	2	2.000	N
Chr1:1667631-1667645	10	3.455	N
Chr1:1676764-1677046	20	20.000	24
Chr1:1680512-1680526	4	0.572	N
Chr1:1692703-1692740	0	0.000	N
Chr1:1702355-1702370	10	3.750	N
Chr1:1703428-1703442	15	13.001	N
Chr1:1704780-1704796	187	38.428	N
Chr1:1705444-1705474	15	14.091	24
Chr1:1705953-1706120	34	13.002	24
Chr1:1706433-1706454	10	9.111	24
Chr1:1707805-1707820	3	3.000	N
Chr1:1710990-1711006	89	40.317	N
Chr1:1711587-1711602	2	0.222	N
Chr1:1712766-1712781	8	8.000	N
Chr1:1713259-1713274	26	16.442	N
Chr1:1716072-1716087	6	2.000	N
Chr1:1720673-1720688	3	1.000	N
Chr1:1725732-1725746	1	0.333	N
Chr1:1727122-1727487	52	50.081	21
Chr1:1728731-1729224	61	37.363	24
Chr1:1738996-1739172	501	322.844	24
Chr1:1742569-1742586	26	16.773	N
Chr1:1745297-1745326	6	6.000	N
Chr1:1748580-1748580	5	3.200	N
Chr1:1751299-1751314	3	1.000	N
Chr1:1759856-1759871	7	7.000	N
Chr1:1762048-1762063	19	3.834	N
Chr1:1764408-1764418	12	12.000	N
Chr1:1766643-1767431	32	26.534	N
Chr1:1767683-1768088	32	19.229	N
Chr1:1768563-1768584	1	0.250	N
Chr1:1781709-1781723	8	2.417	N
Chr1:1787500-1787507	3	0.320	N
Chr1:1790140-1790154	6	1.444	N
Chr1:1797060-1797076	7	3.250	N
Chr1:1799901-1799916	367	330.263	N
Chr1:1803119-1803143	1	1.000	N
Chr1:1817400-1817473	255	48.322	N
Chr1:1835810-1835825	35	10.804	N
Chr1:1875507-1876767	147	94.198	24
Chr1:1879036-1879052	4	0.917	N
Chr1:1881910-1882258	575	569.192	24
Chr1:1884283-1884321	5	5.000	24
Chr1:1898930-1898944	0	0.000	N
Chr1:1900004-1900019	8	1.700	N
Chr1:1904018-1904033	89	85.253	N
Chr1:1905132-1905146	5	1.666	N
Chr1:1923719-1923734	4	1.500	N
Chr1:1935510-1935525	7	3.000	N
Chr1:1944858-1944904	67	59.536	N
Chr1:1956289-1956390	12	1.200	N
Chr1:1961027-1961047	9	9.000	N
Chr1:1975093-1975587	49	12.652	24
Chr1:1975914-1976579	115	77.924	24
Chr1:1978084-1978173	21	3.062	N
Chr1:1981156-1981171	3	1.667	N
Chr1:2001711-2001733	4	4.000	N
Chr1:2005107-2005122	11	9.000	N
Chr1:2010182-2010197	1	0.167	N
Chr1:2014731-2014747	6	6.000	21
Chr1:2014950-2015191	26	16.000	21
Chr1:2017423-2017437	93	49.504	N
Chr1:2024683-2024699	5	1.643	N
Chr1:2024939-2024954	6	1.300	N
Chr1:2025353-2025411	1453	119.582	N
Chr1:2041337-2041352	9	1.966	N
Chr1:2047925-2048672	122	121.000	N
Chr1:2048901-2049329	100	97.150	N
Chr1:2056697-2056710	2	1.000	N
Chr1:2077462-2077515	3	3.000	N
Chr1:2084872-2084885	1	1.000	N
Chr1:2095828-2095844	55	7.662	N
Chr1:2107255-2107468	2044	1037.126	N
Chr1:2111057-2111218	2335	1217.002	N
Chr1:2135481-2135493	3	0.783	N
Chr1:2137216-2137231	6	1.072	N
Chr1:2151949-2152054	3	2.333	N
Chr1:2153242-2153259	31	15.283	N
Chr1:2154771-2154784	4	0.510	N
Chr1:2156307-2156359	384	59.981	N
Chr1:2157120-2157671	323	84.142	24
Chr1:2161275-2161296	9	8.500	N
Chr1:2165554-2165711	102	101.500	21
Chr1:2167088-2167106	3	1.625	N
Chr1:2170763-2170782	4	4.000	22
Chr1:2174537-2174551	13	1.858	N
Chr1:2177885-2177950	365	87.965	N
Chr1:2201636-2201653	326	134.442	N
Chr1:2208582-2208600	3	3.000	24
Chr1:2215568-2215582	1	0.200	N
Chr1:2217186-2217200	11	0.881	N
Chr1:2224718-2224729	1	0.333	N
Chr1:2227208-2227223	10	10.000	N
Chr1:2233808-2234534	62	19.790	24
Chr1:2249579-2249593	5	1.025	N
Chr1:2249893-2249895	3	2.250	N
Chr1:2253858-2253875	14	4.285	N
Chr1:2261059-2261074	7	1.572	N
Chr1:2262021-2262036	10	2.691	N
Chr1:2263411-2263426	3	1.033	N
Chr1:2271668-2271868	10	2.232	N
Chr1:2282594-2282609	30	22.614	N
Chr1:2282928-2282948	4	4.000	22
Chr1:2287333-2287347	2	0.200	N
Chr1:2292454-2292469	18	5.501	N
Chr1:2295288-2295301	1	0.500	N
Chr1:2296278-2296292	3	3.000	N
Chr1:2297777-2297792	1	1.000	N
Chr1:2298469-2298484	18	7.445	N
Chr1:2298766-2298781	1	0.250	N
Chr1:2334817-2334897	1504	101.821	N
Chr1:2335191-2335247	17	17.000	24
Chr1:2337988-2338002	1	0.071	N
Chr1:2338800-2338963	22	15.833	N
Chr1:2339293-2339323	16	13.501	N
Chr1:2340188-2340430	246	217.587	24
Chr1:2341624-2341625	3	1.250	N
Chr1:2342912-2342926	3	2.333	N
Chr1:2350607-2350623	7	1.750	N
Chr1:2364361-2364376	11	3.042	N
Chr1:2368840-2369076	5	1.500	23
Chr1:2369799-2369903	2	0.250	N
Chr1:2387489-2387503	30	21.201	N
Chr1:2396722-2396854	9	3.416	N
Chr1:2400002-2400182	2	1.333	N
Chr1:2406710-2406906	2066	326.428	N
Chr1:2415633-2415968	107	103.448	24
Chr1:2417420-2417440	3	1.500	N
Chr1:2424318-2424334	13	4.311	N
Chr1:2427631-2427645	7	2.786	N
Chr1:2428300-2428308	4	0.683	N
Chr1:2434957-2434971	3	0.313	N
Chr1:2438006-2438243	26	26.000	N
Chr1:2438791-2438811	5	5.000	N
Chr1:2439134-2439151	4	4.000	N
Chr1:2439431-2439461	11	11.000	N
Chr1:2444647-2444660	3	1.500	N
Chr1:2454859-2454872	0	0.000	N
Chr1:2455741-2455761	10	3.833	N
Chr1:2456389-2456427	15	3.700	N
Chr1:2457074-2457088	6	6.000	N
Chr1:2459117-2459404	22	12.668	N
Chr1:2459846-2459888	11	2.750	N
Chr1:2460344-2460365	9	5.500	N
Chr1:2463439-2463463	5	2.167	N
Chr1:2463918-2463965	18	4.500	N
Chr1:2464333-2464347	4	1.250	N
Chr1:2464590-2464614	5	1.616	N
Chr1:2464947-2464962	11	8.751	N
Chr1:2467933-2467950	13	11.333	N
Chr1:2472878-2473288	214	144.193	24
Chr1:2473826-2473839	3	1.643	N
Chr1:2477382-2477396	4	1.000	N
Chr1:2484488-2484503	16	2.286	N
Chr1:2484957-2484971	3	0.643	N
Chr1:2512500-2512510	3	0.550	N
Chr1:2515023-2515038	7	1.643	N
Chr1:2518535-2518551	20	8.334	N
Chr1:2522924-2522939	32	20.333	N
Chr1:2525870-2525884	8	7.166	N
Chr1:2526904-2526947	12	12.000	N
Chr1:2531436-2531861	230	129.904	24
Chr1:2532265-2532419	24	6.250	23
Chr1:2532694-2532726	5	1.666	24
Chr1:2532940-2534126	141	45.444	24
Chr1:2534536-2534796	119	97.723	24
Chr1:2538076-2538234	203	79.840	N
Chr1:2547027-2547042	20	3.220	N
Chr1:2560107-2560123	9	2.119	N
Chr1:2565327-2565341	9	3.000	N
Chr1:2574528-2574548	7	7.000	N
Chr1:2577832-2577847	8	2.666	N
Chr1:2587337-2587558	72	32.314	24
Chr1:2587783-2588596	61893	5161.876	N
Chr1:2595909-2595923	3	1.500	N
Chr1:2600434-2600449	45	35.667	N
Chr1:2615025-2615039	2	2.000	N
Chr1:2636726-2636742	5	5.000	N
Chr1:2640957-2641272	121	119.246	N
Chr1:2641499-2641714	17	17.000	N
Chr1:2646119-2646133	1	0.050	N
Chr1:2657436-2657897	423	355.066	24
Chr1:2659053-2659067	1	0.500	N
Chr1:2670384-2670386	4	4.000	N
Chr1:2674465-2674481	4	1.167	N
Chr1:2676169-2676184	8	3.722	N
Chr1:2682976-2682991	10	3.125	N
Chr1:2688948-2688962	1	0.067	N
Chr1:2693569-2693585	5	0.375	N
Chr1:2699605-2699615	2	0.222	N
Chr1:2711007-2711022	9	4.200	N
Chr1:2718979-2718993	1	1.000	N
Chr1:2727029-2727045	16	8.070	N
Chr1:2739192-2739207	4	1.833	N
Chr1:2740509-2740524	4	0.817	N
Chr1:2745647-2745661	5	5.000	N
Chr1:2763628-2763642	12	6.000	N
Chr1:2765585-2765599	6	2.000	N
Chr1:2767426-2767441	9	1.474	N
Chr1:2770564-2770578	2	1.500	N
Chr1:2788433-2788752	76	13.931	24
Chr1:2788987-2789183	27	5.200	24
Chr1:2790032-2790035	1	0.200	23
Chr1:2790314-2790472	6	1.000	24
Chr1:2790732-2791147	27	4.733	24
Chr1:2791403-2791496	6	1.166	24
Chr1:2791771-2791925	22	3.859	24
Chr1:2792164-2792170	3	0.567	23
Chr1:2792616-2792646	4	0.767	N
Chr1:2792892-2793059	16	2.499	N
Chr1:2793386-2793388	3	0.600	23
Chr1:2793609-2794326	49	9.153	24
Chr1:2795063-2795119	5	0.867	24
Chr1:2795405-2795968	70	13.202	24
Chr1:2796358-2796383	3	0.600	21
Chr1:2796614-2797342	38	6.867	24
Chr1:2797708-2797870	5	0.967	24
Chr1:2798361-2798378	1	0.200	24
Chr1:2798668-2799404	32	6.000	24
Chr1:2799787-2800696	252	50.677	24
Chr1:2802695-2802710	18	1.143	N
Chr1:2803058-2803074	298	59.958	N
Chr1:2804335-2804350	8	6.500	N
Chr1:2805695-2805710	3	1.611	N
Chr1:2813165-2813179	0	0.000	N
Chr1:2829132-2829137	5	5.000	N
Chr1:2830919-2830936	13	5.466	N
Chr1:2833628-2833642	3	3.000	N
Chr1:2835388-2835402	1	0.111	N
Chr1:2846553-2846608	877	94.541	N
Chr1:2850665-2850681	2	0.667	N
Chr1:2852008-2852022	3	0.583	N
Chr1:2859958-2859973	47	46.502	N
Chr1:2869153-2869222	4	1.548	N
Chr1:2877853-2877867	4	1.333	N
Chr1:2878122-2878136	10	6.667	N
Chr1:2879303-2879376	137	12.234	N
Chr1:2881495-2881509	2	0.476	N
Chr1:2883646-2883660	8	8.000	N
Chr1:2901503-2901513	3	0.512	N
Chr1:2903282-2903296	3	0.600	N
Chr1:2903860-2903876	117	41.278	N
Chr1:2907249-2907349	5	5.000	23
Chr1:2912833-2912848	2	0.750	N
Chr1:2923213-2923227	2	0.325	N
Chr1:2927807-2927819	2	1.333	N
Chr1:2936369-2936383	9	1.160	N
Chr1:2939416-2939491	20516	3134.845	N
Chr1:2940108-2940127	4	4.000	N
Chr1:2945924-2945939	10	1.250	N
Chr1:2947916-2947930	2	0.375	N
Chr1:2954208-2954226	121	114.865	N
Chr1:2960499-2960515	5	2.667	N
Chr1:2976215-2976237	3	3.000	N
Chr1:2976561-2976701	9	9.000	21
Chr1:2982530-2982533	4	2.500	N
Chr1:2986366-2986504	26	13.252	24
Chr1:2986732-2986842	18	11.923	23
Chr1:2989841-2989855	2	0.500	N
Chr1:2993348-2993778	110	110.000	24
Chr1:3000942-3000956	5	1.000	N
Chr1:3009152-3009709	65	63.999	N
Chr1:3012116-3012129	3	1.183	N
Chr1:3016097-3016498	11	9.392	N
Chr1:3016844-3016857	2	2.000	N
Chr1:3017080-3017173	10	7.386	N
Chr1:3017983-3018012	0	0.000	N
Chr1:3023505-3024276	136	54.713	24
Chr1:3027014-3027028	32	8.083	N
Chr1:3028329-3028343	4	0.368	N
Chr1:3040967-3040982	26	2.839	N
Chr1:3048971-3048986	0	0.000	N
Chr1:3060437-3060579	5	5.000	23
Chr1:3062048-3062104	62	58.999	24
Chr1:3063534-3063803	150	139.500	24
Chr1:3070421-3070436	58	36.836	N
Chr1:3073184-3074008	123	55.264	24
Chr1:3077593-3077610	2	1.000	N
Chr1:3085431-3085445	7	3.410	N
Chr1:3097765-3097780	14	4.819	N
Chr1:3109228-3109249	17	5.749	N
Chr1:3115862-3115876	3	1.450	N
Chr1:3136322-3136334	3	2.125	N
Chr1:3142234-3142249	25	24.250	N
Chr1:3144763-3144779	21	4.719	N
Chr1:3156100-3156116	33	32.251	N
Chr1:3158808-3158824	4	4.000	N
Chr1:3160140-3160154	17	4.500	N
Chr1:3162547-3162698	8	1.031	N
Chr1:3168529-3168545	33	11.256	N
Chr1:3169153-3169171	87	40.498	N
Chr1:3180537-3180720	247	148.151	N
Chr1:3187885-3187899	3	0.300	N
Chr1:3202807-3202822	4	1.396	N
Chr1:3220726-3220739	3	1.591	N
Chr1:3221099-3221113	3	0.375	N
Chr1:3224252-3224266	3	1.400	N
Chr1:3239442-3239456	9	2.100	N
Chr1:3250630-3250663	13	5.334	24
Chr1:3251287-3251501	76	16.059	24
Chr1:3253068-3253080	1	1.000	20
Chr1:3255594-3255608	8	8.000	N
Chr1:3258490-3258508	2	2.000	N
Chr1:3263425-3263544	2	1.000	24
Chr1:3274907-3274921	3	0.833	N
Chr1:3281602-3281618	8	7.250	N
Chr1:3282375-3282389	3	0.625	N
Chr1:3292494-3292506	0	0.000	N
Chr1:3302991-3303005	8	2.000	N
Chr1:3311204-3311219	6	1.846	N
Chr1:3313227-3313242	23	9.584	N
Chr1:3316654-3316675	10	8.500	N
Chr1:3321427-3321441	12	6.000	N
Chr1:3326948-3326962	17	16.250	N
Chr1:3341097-3341111	0	0.000	N
Chr1:3342600-3343013	67	17.541	24
Chr1:3343618-3343634	2	2.000	24
Chr1:3343898-3343932	31	15.999	24
Chr1:3344681-3344695	4	4.000	24
Chr1:3360531-3360997	85	27.608	24
Chr1:3362174-3362213	50	50.000	24
Chr1:3370744-3370758	4	3.500	N
Chr1:3371341-3371355	3	1.000	N
Chr1:3373047-3373061	0	0.000	N
Chr1:3377499-3377515	12	4.166	N
Chr1:3405737-3405752	10	7.792	N
Chr1:3406478-3406484	4	1.917	N
Chr1:3412956-3413232	170	147.594	24
Chr1:3413661-3413763	39	16.719	24
Chr1:3414033-3414311	49	25.994	24
Chr1:3414549-3414825	55	48.521	24
Chr1:3415053-3415068	6	1.500	N
Chr1:3418093-3418108	8	2.334	N
Chr1:3424591-3424605	7	1.167	N
Chr1:3427860-3428032	135	133.663	24
Chr1:3429268-3429426	2	2.000	N
Chr1:3431183-3431258	133	10.640	N
Chr1:3438503-3438517	4	0.458	N
Chr1:3438760-3438776	7	3.417	N
Chr1:3441086-3441100	17	3.400	N
Chr1:3443824-3443837	0	0.000	N
Chr1:3448774-3448788	8	2.000	N
Chr1:3462051-3462065	8	6.583	N
Chr1:3469624-3469846	146	27.667	N
Chr1:3471543-3471559	24	22.750	N
Chr1:3477785-3477801	7	0.748	N
Chr1:3485193-3485208	11	3.000	N
Chr1:3486678-3486692	1	0.500	N
Chr1:3487513-3487533	7	6.000	N
Chr1:3488825-3488840	5	1.076	N
Chr1:3497802-3498212	60	48.948	24
Chr1:3498881-3498988	90	86.472	24
Chr1:3501571-3501584	11	5.416	N
Chr1:3512930-3512946	10	6.944	N
Chr1:3515691-3515706	4	2.410	N
Chr1:3530897-3530913	5	3.000	N
Chr1:3542887-3542901	2	0.500	N
Chr1:3546555-3546570	4	0.538	N
Chr1:3546828-3547155	66	61.261	24
Chr1:3547373-3547779	122	93.232	24
Chr1:3551649-3551690	8	8.000	24
Chr1:3551967-3552040	14	11.999	24
Chr1:3552333-3552349	48	6.710	N
Chr1:3554417-3554431	96	31.997	N
